longitude,latitude
-78.86404306804145,43.89679830054546
-78.86404306709957,43.89679836681361
-78.86404287760024,43.896798616913415
-78.86404248024135,43.89679895262148
-78.86404203889967,43.896799300359916
-78.86404042270507,43.89680003930274
-78.864039629921,43.89680025182217
-78.86403804434005,43.89680054485358
-78.8640380352582,43.896800546536824
-78.86403391222993,43.896801313766034
-78.86403387112588,43.89680132159293
-78.8640337889853,43.89680133759032
-78.86403374794877,43.8968013457608
-78.86403170773431,43.89680176085548
-78.86402978445129,43.89680211897303
-78.86402969898569,43.89680213565813
-78.86402952835803,43.8968021705142
-78.86402944319597,43.89680218868517
-78.86402539887021,43.89680308851097
-78.8640235365693,43.89680346669154
-78.8640234517452,43.89680348468415
-78.86402328242201,43.89680352213759
-78.86402319792293,43.896803541598416
-78.8640209845896,43.89680407159841
-78.86402097393602,43.896804074161835
-78.86402095263207,43.89680407931262
-78.8640209419817,43.89680408189999
-78.86401683199738,43.89680508513746
-78.8640147188298,43.89680557566522
-78.86401470625985,43.89680557860017
-78.86401468112528,43.89680558450306
-78.86401466856066,43.89680558747101
-78.86401262998048,43.89680607179208
-78.86400884215297,43.89680688323893
-78.86400694403682,43.89680728301622
-78.8640068989432,43.8968072927312
-78.86400680884756,43.89680731257673
-78.86400676384555,43.896807322707296
-78.8640048814962,43.89680775558207
-78.86400130535976,43.896808554061685
-78.8639994206203,43.89680887678095
-78.86399932670714,43.89680889378561
-78.86399913922261,43.896808929584346
-78.86399904565124,43.89680894837842
-78.86399713231792,43.896809351711745
-78.86399712430179,43.89680935340537
-78.86399315829469,43.8968101939713
-78.8639931436315,43.896810197091824
-78.86399126208151,43.89681059980113
-78.863991205549,43.896810612243556
-78.86399109263135,43.89681063778215
-78.86399103624622,43.89681065087832
-78.86398902957954,43.896811129211656
-78.86398902132028,43.89681113118785
-78.86398900480836,43.896811135153484
-78.8639889965557,43.89681113714292
-78.86398526322238,43.896812040476256
-78.86398521752314,43.896812051761806
-78.86398512623215,43.89681207476284
-78.8639850806404,43.896812086478334
-78.86398332024481,43.896812547683226
-78.86398149888093,43.896812978358255
-78.8639814748602,43.89681298410082
-78.86398142684759,43.89681299570447
-78.8639814028557,43.89681300156557
-78.86397764834962,43.89681392860411
-78.8639758079235,43.89681437278858
-78.86397373450723,43.89681486761797
-78.86396989688708,43.896815746706295
-78.86396792729002,43.89681614722245
-78.86396784931303,43.8968161637273
-78.86396769363203,43.89681619797789
-78.86396761592805,43.89681621572363
-78.86396556759472,43.89681670072363
-78.86396548823394,43.89681672020072
-78.86396532984097,43.89681676044934
-78.86396525080876,43.89681678122088
-78.86396129247542,43.89681785622088
-78.86396126807593,43.8968178629136
-78.86396121931102,43.896817876422446
-78.86396119494562,43.896817883238576
-78.86395940856846,43.8968183878473
-78.86395752473666,43.89681886739651
-78.86395743899428,43.896818890034645
-78.86395726792469,43.89681893682797
-78.86395718259749,43.89681896098316
-78.86395288218189,43.8968202196811
-78.86395107535522,43.89682070738496
-78.86394900508046,43.896821249521786
-78.8639489716661,43.89682125839546
-78.86394890489993,43.896821276373544
-78.8639488715481,43.89682128547795
-78.8639447515481,43.89682242547795
-78.86394468882145,43.89682244327547
-78.86394456360532,43.89682247968703
-78.86394450111584,43.89682249830108
-78.86394247056803,43.89682311759325
-78.86394050502244,43.89682371356527
-78.86394043201456,43.896823736313
-78.86394028635534,43.89682378292231
-78.86394021370401,43.896823806783885
-78.86393635537068,43.89682510678388
-78.86393626215128,43.89682513922058
-78.86393607637072,43.89682520592784
-78.86393598380955,43.8968252401984
-78.86393415934934,43.89682593625298
-78.86393261988758,43.896826464353126
-78.86393102575938,43.89682687895766
-78.86392897047884,43.89682738509678
-78.86392890753156,43.896827401032574
-78.86392878184894,43.89682743372037
-78.86392871911359,43.896827450472365
-78.86392688201973,43.896827953827035
-78.86392287358463,43.89682888007264
-78.86392283137783,43.896828890018526
-78.86392274705196,43.89682891027599
-78.86392270493288,43.89682892058757
-78.86392084738681,43.8968293838983
-78.86391906557694,43.89682971265076
-78.86391905235133,43.89682971510116
-78.86391484460856,43.89683049925419
