longitude,latitude
-78.86401485100936,43.89672550592567
-78.86403355040525,43.89680138599219
-78.86400425693472,43.89680789503417
-78.86398004753761,43.896709655996
-78.86395073867334,43.896716102571816
-78.86397500308823,43.896814564865906
-78.86394596027185,43.89682209103438
-78.8639217498895,43.89672384799829
-78.86389274829057,43.89673154142265
-78.86391703426489,43.89683009120253
-78.86388771929563,43.89683651300497
-78.86386372259071,43.896739137048016
-78.86383449834997,43.89674592701668
-78.86385838412289,43.89684285282388
