longitude,latitude
-78.86399977093444,43.89670610555521
-78.86402375314867,43.89680342271046
-78.86399445649374,43.89680991883038
-78.86397020135172,43.896711494164514
-78.8639410874099,43.89671873171395
-78.86396525018421,43.89681678156182
-78.86393640053208,43.89682509156935
-78.86391209377038,43.89672645743664
-78.86388308462213,43.896734120226625
-78.86390722723547,43.8968320882636
-78.86387800112689,43.8968388706528
-78.86385400485855,43.89674149646748
-78.86382472948065,43.89674807892731
-78.86384063350545,43.896812615689136
